,tipo_grafo,N,params,seed,num_arestas,densidade,clustering_medio,assortatividade,conectado,caminho_medio,diametro
24,BA,300,{'m': 1},3,299,0.006666666666666667,0.0,-0.2393009129945751,True,5.864347826086957,13
25,BA,300,{'m': 2},3,596,0.013288740245261985,0.0545291718336921,-0.1593370873664548,True,3.6040802675585284,6
26,BA,300,{'m': 4},3,1184,0.026399108138238574,0.06948477208219646,-0.09252471171769606,True,2.7776142697881827,5
27,ER,300,{'p': 0.01},4,478,0.010657748049052397,0.002285714285714286,-0.016285661218986336,False,4.976651132137645,12
28,ER,300,{'p': 0.05},4,2247,0.05010033444816053,0.051052975157834496,-0.006263205633073584,True,2.403032329988852,4
29,ER,300,{'p': 0.1},4,4478,0.09984392419175028,0.10154212608861359,0.01722284722821549,True,1.9468004459308808,3
30,WS,300,"{'k': 6, 'p': 0.01}",4,900,0.020066889632107024,0.5822777777777778,-0.030994369060464603,True,10.918394648829432,29
31,WS,300,"{'k': 6, 'p': 0.1}",4,900,0.020066889632107024,0.43673015873015875,0.006012403886280259,True,4.73489409141583,8
32,WS,300,"{'k': 6, 'p': 0.5}",4,900,0.020066889632107024,0.1057000962000962,-0.05526380368098122,True,3.5214492753623188,6
33,BA,300,{'m': 1},4,299,0.006666666666666667,0.0,-0.17398823040048003,True,5.711571906354515,15
34,BA,300,{'m': 2},4,596,0.013288740245261985,0.07403534221246565,-0.12662626020247708,True,3.611014492753623,6
35,BA,300,{'m': 4},4,1184,0.026399108138238574,0.08753420311403955,-0.09966900176146916,True,2.775808249721293,5
36,ER,300,{'p': 0.01},5,440,0.009810479375696768,0.002492063492063492,0.049392833196752806,False,5.428032487504806,12
37,ER,300,{'p': 0.05},5,2239,0.04992196209587514,0.05067793550083226,0.019904008384457224,True,2.4055295429208474,4
38,ER,300,{'p': 0.1},5,4428,0.09872909698996656,0.09975702488029994,0.02931456252005405,True,1.9498773690078037,3
39,WS,300,"{'k': 6, 'p': 0.01}",5,900,0.020066889632107024,0.5843174603174603,-0.043212166172085224,True,11.134358974358975,26
40,WS,300,"{'k': 6, 'p': 0.1}",5,900,0.020066889632107024,0.4325079365079365,-0.05866679824346139,True,4.67123745819398,9
41,WS,300,"{'k': 6, 'p': 0.5}",5,900,0.020066889632107024,0.093487493987494,-0.045618662115848814,True,3.4742920847268675,6
42,BA,300,{'m': 1},5,299,0.006666666666666667,0.0,-0.1849972703413328,True,5.820624303232999,13
43,BA,300,{'m': 2},5,596,0.013288740245261985,0.04806471676471275,-0.11239381602136343,True,3.606577480490524,7
44,BA,300,{'m': 4},5,1184,0.026399108138238574,0.10500106176537834,-0.08970999006002278,True,2.748896321070234,5
