model,N,M,C_global,C_avg,L,D,Assortativity,is_connected,p,k,seed
Watts-Strogatz,1000,5000,0.6666666666666666,0.6666666666666666,50.450450450450454,100,,True,0.0,10,0
Watts-Strogatz,1000,5000,0.6666666666666666,0.6666666666666666,50.450450450450454,100,,True,0.0,10,1
Watts-Strogatz,1000,5000,0.6666666666666666,0.6666666666666666,50.450450450450454,100,,True,0.0,10,2
Watts-Strogatz,1000,5000,0.6666666666666666,0.6666666666666666,50.450450450450454,100,,True,0.0,10,3
Watts-Strogatz,1000,5000,0.6666666666666666,0.6666666666666666,50.450450450450454,100,,True,0.0,10,4
Watts-Strogatz,1000,5000,0.6666666666666666,0.6666666666666666,50.450450450450454,100,,True,0.0,10,5
Watts-Strogatz,1000,5000,0.6666666666666666,0.6666666666666666,50.450450450450454,100,,True,0.0,10,6
Watts-Strogatz,1000,5000,0.6666666666666666,0.6666666666666666,50.450450450450454,100,,True,0.0,10,7
Watts-Strogatz,1000,5000,0.6666666666666666,0.6666666666666666,50.450450450450454,100,,True,0.0,10,8
Watts-Strogatz,1000,5000,0.6666666666666666,0.6666666666666666,50.450450450450454,100,,True,0.0,10,9
Watts-Strogatz,1000,5000,0.6666666666666666,0.6666666666666666,50.450450450450454,100,,True,0.0001,10,0
Watts-Strogatz,1000,5000,0.6666666666666666,0.6666666666666666,50.450450450450454,100,,True,0.0001,10,1
Watts-Strogatz,1000,5000,0.666251861069754,0.6662787878787878,44.677163163163165,100,-2.0000400210351616e-05,True,0.0001,10,2
Watts-Strogatz,1000,5000,0.666185195884536,0.6662065656565657,45.032476476476475,100,-2.0000400210351616e-05,True,0.0001,10,3
Watts-Strogatz,1000,5000,0.6666666666666666,0.6666666666666666,50.450450450450454,100,,True,0.0001,10,4
Watts-Strogatz,1000,5000,0.6666666666666666,0.6666666666666666,50.450450450450454,100,,True,0.0001,10,5
Watts-Strogatz,1000,5000,0.666251861069754,0.6662787878787878,38.63560960960961,100,-2.0000400210351616e-05,True,0.0001,10,6
Watts-Strogatz,1000,5000,0.6666666666666666,0.6666666666666666,50.450450450450454,100,,True,0.0001,10,7
Watts-Strogatz,1000,5000,0.666251861069754,0.6662787878787878,39.03374174174174,100,-2.0000400210351616e-05,True,0.0001,10,8
