model,N,M,C_global,C_avg,L,D,Assortativity,is_connected,p,k,seed
Watts-Strogatz,1000,5000,0.08549504422892465,0.08984960872460873,3.3808348348348347,5,-0.04063934191490092,True,0.5,10,6
Watts-Strogatz,1000,5000,0.08441322772784526,0.08865791332850156,3.3766006006006006,5,-0.032712069576518676,True,0.5,10,7
Watts-Strogatz,1000,5000,0.08799231508165226,0.09276427461427461,3.386958958958959,5,-0.03720967753529548,True,0.5,10,8
Watts-Strogatz,1000,5000,0.08429086102880044,0.08872050727050727,3.3763203203203203,5,-0.03234624493755172,True,0.5,10,9
Watts-Strogatz,1000,5000,0.0089080762346004,0.008893066084242555,3.2675075075075073,5,-0.040496347663666485,True,1.0,10,0
Watts-Strogatz,1000,5000,0.010423905489923557,0.01037050849906887,3.2705045045045047,5,-0.04558189639159452,True,1.0,10,1
Watts-Strogatz,1000,5000,0.008305543320958913,0.00849847971086361,3.268038038038038,5,-0.05250721493069266,True,1.0,10,2
Watts-Strogatz,1000,5000,0.007584695769425249,0.00760132286014639,3.268664664664665,5,-0.038836387876543046,True,1.0,10,3
Watts-Strogatz,1000,5000,0.008026459930900818,0.008504549045725517,3.270048048048048,5,-0.05152759252374584,True,1.0,10,4
Watts-Strogatz,1000,5000,0.00932307302016828,0.009344853718692727,3.268982982982983,5,-0.05148800500750954,True,1.0,10,5
Watts-Strogatz,1000,5000,0.008979953203060774,0.008827668246785894,3.26615015015015,5,-0.0365917355436747,True,1.0,10,6
Watts-Strogatz,1000,5000,0.007816932484397654,0.008279376995553466,3.26578978978979,5,-0.07952689251250437,True,1.0,10,7
Watts-Strogatz,1000,5000,0.008139828369510348,0.008369776181850485,3.267995995995996,5,-0.06057692592917768,True,1.0,10,8
Watts-Strogatz,1000,5000,0.008560817474139197,0.008499816360110478,3.265325325325325,5,-0.05169898998717451,True,1.0,10,9
